,videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId,timestamp
306,DtxWm-IYqEU,mój kolega ma telefon w jeziorze. Może być?,mój kolega ma telefon w jeziorze. Może być?,Jtka_,https://yt3.ggpht.com/pbBqPed7jMq44kxUy76ywIe6d12lbMCx8JnNh6YXBn_gkP3gnOxVj-xIQWbhGon-2lWb-XY2Ymw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC3u8VRuLhivGVVC_x6U5LPQ,{'value': 'UC3u8VRuLhivGVVC_x6U5LPQ'},True,none,1,2022-05-07T16:36:58Z,2022-05-07T16:36:58Z,,1651941418
307,DtxWm-IYqEU,Wszyscy czekamy na ten dzień gdy bedzie 365 dni,Wszyscy czekamy na ten dzień gdy bedzie 365 dni,Ksawery Sękowski,https://yt3.ggpht.com/UH1DDLbJpdWPyPJdpBevJmEKLd1DB5TfdJsqUPWzEPBm7lYIt0CRbbE3udtF51zmfKY9ObJf=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCcAPma_WUJEorRDjYhcN41g,{'value': 'UCcAPma_WUJEorRDjYhcN41g'},True,none,3,2022-05-07T16:36:29Z,2022-05-07T16:36:29Z,,1651941389
308,DtxWm-IYqEU,":),",":),",阿animowy świr :),https://yt3.ggpht.com/Wm1G4gGFh8JYCY1Ms1r15tOFqE3JFAWP45BV3amjDP_7NgQesW5Foi7dTh5_8PM08l18NED4=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCEW0GkBxGTNWAtSz1hxfWnA,{'value': 'UCEW0GkBxGTNWAtSz1hxfWnA'},True,none,0,2022-05-07T16:34:48Z,2022-05-07T16:34:48Z,,1651941288
309,DtxWm-IYqEU,"Jeden z moich ulubionych kanałów, bezsprzecznie.","Jeden z moich ulubionych kanałów, bezsprzecznie.",Barnes,https://yt3.ggpht.com/f0v9YCtFalgjMrrsKu112IuGjAHZFnYByI7uHSPFXRHR0eM6WW73nsmGutBTu4dFCzCItHLF=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCofmwX7S_wfVCW_cgTLRMng,{'value': 'UCofmwX7S_wfVCW_cgTLRMng'},True,none,0,2022-05-07T16:34:27Z,2022-05-07T16:34:27Z,,1651941267
310,DtxWm-IYqEU,A może by tak szyderczy skrót o ratatuj,A może by tak szyderczy skrót o ratatuj,Łukasz Perykasza,https://yt3.ggpht.com/ytc/AMLnZu-WRy6O5Sek3Nbg63fXhyZnYXrQoBDjJyat0Q=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCXUKvVCnKjxJQePq7yNSYIQ,{'value': 'UCXUKvVCnKjxJQePq7yNSYIQ'},True,none,3,2022-05-07T16:33:08Z,2022-05-07T16:33:08Z,,1651941188
311,DtxWm-IYqEU,Daj skrót Sonic szybki jak błyskawica,Daj skrót Sonic szybki jak błyskawica,Michal Sloma,https://yt3.ggpht.com/ytc/AMLnZu-0XKPRo3qDzmooSMixgjmwi5vCcN9WCmKFtgog4_AligLBH7cLJwzHZQ0fY7IV=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCRY6Nwu2tk2bru0Efirx2sg,{'value': 'UCRY6Nwu2tk2bru0Efirx2sg'},True,none,1,2022-05-07T16:32:54Z,2022-05-07T16:32:54Z,,1651941174
312,DtxWm-IYqEU,Czekałem na ten Szyderczy Skrót od kiedy poznałem ten kanał &lt;3,Czekałem na ten Szyderczy Skrót od kiedy poznałem ten kanał <3,6ejdalej9,https://yt3.ggpht.com/ytc/AMLnZu_m2euoLsZGApJjBYAyxG1HaxWJqA3NXv8vwDWx=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCbQTVQuM8lzWfglcQ-rOQWg,{'value': 'UCbQTVQuM8lzWfglcQ-rOQWg'},True,none,11,2022-05-07T16:32:53Z,2022-05-07T16:32:53Z,,1651941173
313,DtxWm-IYqEU,Szkoda ze nie ma oceny Filmu :/,Szkoda ze nie ma oceny Filmu :/,Raziel =_+,https://yt3.ggpht.com/ytc/AMLnZu82FUYH0MmB3F7uyh-R3sMkRfX1UzDDEKTQpIpy=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCfE4qc7Ky2hqFQdFzMjUmIA,{'value': 'UCfE4qc7Ky2hqFQdFzMjUmIA'},True,none,0,2022-05-07T16:32:50Z,2022-05-07T16:32:50Z,,1651941170
314,DtxWm-IYqEU,Do kolacji po pracy ❤️,Do kolacji po pracy ❤️,Edyta Ostafińska,https://yt3.ggpht.com/ytc/AMLnZu8330zCdP6v9d2KoPO2dVmdhKqLnZ-dRUQ8tw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCOGwjv2sfQhiyUfIqJ4R0zQ,{'value': 'UCOGwjv2sfQhiyUfIqJ4R0zQ'},True,none,1,2022-05-07T16:32:37Z,2022-05-07T16:32:37Z,,1651941157
315,DtxWm-IYqEU,Gandalf zrobił taki skok na bungee tylko bez bungee,Gandalf zrobił taki skok na bungee tylko bez bungee,Aragorn po kosztach,https://yt3.ggpht.com/C4aUq97gsD94SOi3VJREn6B7Bt8JmZyFCmiy5gctKZYczY_eaDqfwAx-bW7noNOjNOS4ZBfyTw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UColAkSnIm4bZ2i8GfcnCYAw,{'value': 'UColAkSnIm4bZ2i8GfcnCYAw'},True,none,2,2022-05-07T16:31:54Z,2022-05-07T16:31:54Z,,1651941114
